bresjoID,areal_km2,Shape_STAr,Shape_STLe,centroid_lon,centroid_lat,GLOF,glof_years
56,0.0139256,13925.6049805,445.418880455,7.4294097233414300,61.856803761470600,FALSE,
57,0.01297251,12972.5054321,567.716178036,7.5754144716796800,61.72154877134280,FALSE,
58,0.12144711,121447.106323,2684.18074562,7.545724826629540,61.71963330898640,FALSE,
59,0.01617736,16177.3557129,832.848827316,7.594338210781030,61.745855632718000,FALSE,
60,0.11669318,116693.176514,3838.44210717,7.585452923156650,61.75138815184690,FALSE,
61,0.00368082,3680.81726074,301.597953924,7.64258306664276,61.741899957316000,FALSE,
62,0.04587152,45871.519165,1379.27892821,7.635627662561680,61.75721599752810,FALSE,
63,0.29579087,295790.870178,4118.66821619,7.667981845182890,61.74965681816520,FALSE,
64,0.08490346,84903.4628296,1871.79699751,7.644509972056530,61.73167412675900,FALSE,
65,0.06777409,67774.0949097,1902.45934194,7.702668271538740,61.66258244053190,FALSE,
66,0.01320556,13205.5568848,565.823046118,7.646483590781120,61.65270785398390,FALSE,
67,0.00075031,750.312194824,143.476186397,7.688862775373670,61.65946747596710,FALSE,
68,0.171748,171747.997986,3071.12564824,7.711071860623680,61.673634166724500,FALSE,
69,0.01225795,12257.9550781,566.107712105,7.709305029984540,61.74884401506790,FALSE,
70,0.05347782,53477.8172607,1849.12031416,7.727217949131370,61.71932689309680,FALSE,
71,0.01804223,18042.2317505,859.207817587,7.958143524768380,61.75748154175800,FALSE,
72,0.22156578,221565.783264,2893.90812295,7.493585434877070,61.64084752284680,FALSE,
73,0.00378569,3785.68737793,340.808019405,8.144232766971830,61.352049610325900,FALSE,
74,0.54361551,543615.513916,5755.27369623,8.358554055114850,61.670179591139800,FALSE,
75,0.37178497,371784.97229,6550.87636803,8.576007506941400,61.6798530450622,FALSE,
76,0.0158142,15814.199585,754.637107897,8.727375218303390,61.620815998753500,FALSE,
77,0.32426944,324269.439758,2805.56297949,7.771028740360790,61.44059959698990,FALSE,
78,0.0115753,11575.2982178,477.83551877,7.848063424303760,61.4635862263791,FALSE,
79,0.03575702,35757.0248413,1129.98239458,7.878452093936610,61.48853801041020,FALSE,
80,0.2348835,234883.505188,2844.50991543,7.662758672875980,62.151412711542000,FALSE,
81,7.39589389,7395893.88654,23613.0109924,7.428640688158140,61.78424334993190,FALSE,
82,0.21240863,212408.63208,2348.00689288,7.0886271949227400,62.011275344750500,FALSE,
83,0.4881097,488109.698059,4423.04727451,7.224537033475750,61.824131155737500,FALSE,
84,4.19025192,4190251.91742,19945.1750782,7.401612901917640,61.82933537161890,FALSE,
85,0.01300029,13000.289032,612.112674687,6.584229886781170,62.05197608131060,FALSE,
86,0.01504097,15040.9732971,560.52275121,6.7585109824793700,61.67747789369780,FALSE,
87,0.02938428,29384.2750549,1304.46706662,6.591310366787520,61.66439191361250,FALSE,
88,0.01077346,10773.4607544,480.87948092,7.035848185861600,61.591153343216900,FALSE,
89,0.07267482,72674.8214722,3187.02549458,7.00104288109116,61.587647770716300,FALSE,
90,0.04747399,47473.9878235,1498.68665358,7.053931431525370,61.50986959304740,FALSE,
91,0.01285554,12855.5448303,459.787210262,7.092765651962600,61.5117842198058,FALSE,
92,0.04661479,46614.7871704,1133.38550778,6.918845747605180,61.49947953197550,FALSE,
93,0.00691279,6912.7940979,342.685791962,6.898337172602070,61.4843859364371,FALSE,
94,0.04450771,44507.70877080000,1813.588635,6.482073774987410,61.47355560123520,FALSE,
95,0.00133953,1339.52633667,166.239729875,6.9186971329104800,61.48138691633350,FALSE,
96,0.01416835,14168.3495178,454.26432962,6.54702687522614,61.43724926525320,FALSE,
97,0.00235349,2353.49447632,231.085484681,7.024807663704210,61.43544608408910,FALSE,
98,0.02030798,20307.9797058,627.555501157,6.9849649312117700,61.42331430909930,FALSE,
99,0.03148141,31481.4111633,869.809652948,7.020568706156430,61.42365101460270,FALSE,
100,0.00175752,1757.5166626,166.226029355,6.865687498972390,61.42960899666560,FALSE,
101,0.00957269,9572.68533325,480.355446172,6.523110288394590,61.377128821948300,FALSE,
102,0.00236727,2367.26898193,211.51835259,6.829348373450820,61.36199398731570,FALSE,
