id,name,latitude,longitude,country,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,glacier_name,distance_to_glacier_m,distance_to_glacier_km,closest_glacier,closest_glacier_lat,closest_glacier_lon
SN54740,FV53 NADDVIK,61.18833,7.62183,Norge,RGI2000-v7.0-G-08-02922,08,08-02,G007819E61211N,353196,611,2003-08-09,7.818566,61.2135555,32,0.391774668164858,0,0,0,9,,1,7.816940140722268,61.21967891511246,1413.7861,1764.5944,1554.0455,1555.278,21.65227,56.969395,2,COPDEM30,1418,RGI2000-v7.0-G-08-02922,10960.795240519828,10.960795240519829,RGI2000-v7.0-G-08-02922,61.2135555,7.818566
SN11900,BIRI,60.9518,10.5954,Norge,RGI2000-v7.0-G-08-03400,08,08-03,G008718E61395N,353630,611,2003-08-09,8.7160375,61.395489,32,0.106281441393983,0,0,0,9,,1,8.71914099512754,61.39387965778901,1820.2789,1996.8773,1907.2932,1904.9404,26.084538,142.73657,4,COPDEM30,487,RGI2000-v7.0-G-08-03400,112634.41220620142,112.63441220620142,RGI2000-v7.0-G-08-03400,61.395489,8.7160375
SN211900,KVIKKJOKK ARRENJARKA,66.8872222222222,18.0197222222222,Sverige,RGI2000-v7.0-G-08-00815,08,08-01,G017682E67156N,1012563,812,2002-08-09,17.68286887764831,67.1558665,33,0.234415466995157,0,0,0,9,,0,17.686728815767477,67.15955725667408,1252.9724,1554.8568,1393.462,1391.0715,27.871408,79.215225,3,COPDEM30,935,RGI2000-v7.0-G-08-00815,33356.08518704497,33.35608518704497,RGI2000-v7.0-G-08-00815,67.1558665,17.68286887764831
SN39210,DUEKNIPEN,58.1427,7.9733,Norge,RGI2000-v7.0-G-08-03047,08,08-02,G006856E59527N,352487,611,2003-08-09,6.856760490326986,59.526589,32,0.050550452403332,0,0,0,9,,1,6.855947098715404,59.527840948860856,1339.1227,1444.9357,1389.3593,1388.442,24.834578,7.7144423,1,COPDEM30,324,RGI2000-v7.0-G-08-03047,167415.1361278291,167.41513612782907,RGI2000-v7.0-G-08-03047,59.526589,6.856760490326986
SN248110,BROVALLEN,60.0991,16.3062,Sverige,RGI2000-v7.0-G-08-03410,08,08-03,G012439E62912N,1012458,812,2002-08-23,12.439422059898478,62.9123245,33,0.480973812907736,0,0,0,9,Helagsglaciaeren,0,12.43646693000619,62.91066739227106,1347.2217,1634.9697,1491.0886,1493.1182,25.445248,278.76747131347656,7,COPDEM30,757,Helagsglaciaeren,374786.8179507509,374.7868179507509,Helagsglaciaeren,62.9123245,12.439422059898478
SN62160,ISTAD KRAFTSTASJON,62.805,7.7002,Norge,RGI2000-v7.0-G-08-02747,08,08-02,G007884E62627N,353242,611,2006-09-16,7.884974487932884,62.6273635,32,0.042268901910344,0,0,0,9,,1,7.887177336580312,62.62788421533844,1334.4796,1481.1215,1400.8824,1406.584,32.34415,75.296,3,COPDEM30,262,RGI2000-v7.0-G-08-02747,21967.746129161966,21.967746129161966,RGI2000-v7.0-G-08-02747,62.6273635,7.884974487932884
SN81315,FV17 SALTSTRAUMBRUA,67.23133,14.6125,Norge,RGI2000-v7.0-G-08-01759,08,08-01,G014987E67409N,354268,611,1999-09-07,14.987637,67.4084125,33,0.091871630641076,0,0,0,9,,1,14.99269836698277,67.40720200029786,867.45917,993.90466,910.1411,915.03937,23.960546,74.994125,3,COPDEM30,524,RGI2000-v7.0-G-08-01759,25500.533838287567,25.500533838287566,RGI2000-v7.0-G-08-01759,67.4084125,14.987637
SN82840,STRØKSNES - HESTVIKA,67.5258,15.4953,Norge,RGI2000-v7.0-G-08-01758,08,08-01,G015204E67441N,354280,611,1999-09-07,15.209406059479557,67.440846,33,0.093677558544386,0,0,0,9,,1,15.195419820474736,67.44152800004788,814.3559,1034.3738,917.09717,913.8837,33.008938,355.96596336364746,1,COPDEM30,593,RGI2000-v7.0-G-08-01758,15458.784746570916,15.458784746570917,RGI2000-v7.0-G-08-01758,67.440846,15.209406059479557
SN41175,LAUDAL - KLEIVEN,58.2772,7.4388,Norge,RGI2000-v7.0-G-08-03047,08,08-02,G006856E59527N,352487,611,2003-08-09,6.856760490326986,59.526589,32,0.050550452403332,0,0,0,9,,1,6.855947098715404,59.527840948860856,1339.1227,1444.9357,1389.3593,1388.442,24.834578,7.7144423,1,COPDEM30,324,RGI2000-v7.0-G-08-03047,143459.03415834118,143.45903415834118,RGI2000-v7.0-G-08-03047,59.526589,6.856760490326986
SN206490,PARAKKA,67.4864,21.6687,Sverige,RGI2000-v7.0-G-08-00773,08,08-01,G018469E67616N,1012683,812,2002-07-31,18.46816575037237,67.6163845,34,0.536724300064496,0,0,0,9,,0,18.478481351318226,67.61760605707595,1194.8448,1515.4858,1268.7834,1290.3064,18.952026,92.07606,3,COPDEM30,960,RGI2000-v7.0-G-08-00773,137216.9491178108,137.2169491178108,RGI2000-v7.0-G-08-00773,67.6163845,18.46816575037237
